epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7338,1.63563,2.54429,1.50817,0.8516,0.14437,0.32651,0.16407,1.52267,2.85036,1.42959,0.00065,0.00065,0.00065
2,22.3104,1.55593,1.92565,1.46373,0.40741,0.34906,0.32545,0.1445,1.77209,2.41416,1.74064,0.0012906,0.0012906,0.0012906
3,32.8787,1.57369,1.82787,1.45803,0.48393,0.34906,0.38265,0.19378,1.72513,2.26622,1.7811,0.00190479,0.00190479,0.00190479
4,43.6124,1.52545,1.70328,1.42981,0.54799,0.39623,0.38731,0.17904,1.95256,4.10067,1.95185,0.0018812,0.0018812,0.0018812
5,54.0626,1.51501,1.57741,1.42043,0.53793,0.53774,0.54466,0.27828,1.61111,1.86983,1.54437,0.0018416,0.0018416,0.0018416
6,64.5178,1.49824,1.49229,1.39181,0.63494,0.5566,0.60685,0.31316,1.65872,1.58788,1.5487,0.001802,0.001802,0.001802
7,74.9936,1.49433,1.47396,1.3936,0.66403,0.62264,0.65038,0.37583,1.45122,1.45233,1.44761,0.0017624,0.0017624,0.0017624
8,85.4428,1.4252,1.41523,1.36562,0.67501,0.57862,0.62343,0.33187,1.58684,1.64344,1.60521,0.0017228,0.0017228,0.0017228
9,95.8476,1.44413,1.39565,1.35964,0.64334,0.47484,0.53543,0.29849,1.50674,1.86338,1.51425,0.0016832,0.0016832,0.0016832
10,106.243,1.4407,1.36528,1.34867,0.73425,0.62893,0.70773,0.40782,1.43478,1.37735,1.42009,0.0016436,0.0016436,0.0016436
11,116.718,1.35303,1.28328,1.31389,0.69427,0.59748,0.6636,0.38844,1.41991,1.56787,1.39137,0.001604,0.001604,0.001604
12,127.121,1.37383,1.2743,1.3249,0.83546,0.62271,0.76588,0.48178,1.27078,1.21516,1.32357,0.0015644,0.0015644,0.0015644
13,137.624,1.37502,1.22638,1.31738,0.77288,0.66352,0.75082,0.46828,1.33701,1.17978,1.32543,0.0015248,0.0015248,0.0015248
14,148.006,1.36115,1.20928,1.32398,0.82802,0.66619,0.776,0.48026,1.3068,1.18868,1.33143,0.0014852,0.0014852,0.0014852
15,158.505,1.33331,1.20526,1.29909,0.76632,0.60692,0.71503,0.43151,1.35181,1.2564,1.36262,0.0014456,0.0014456,0.0014456
16,168.911,1.30783,1.16865,1.29637,0.80531,0.69811,0.78984,0.49602,1.26104,1.12572,1.31058,0.001406,0.001406,0.001406
17,179.363,1.26898,1.12547,1.27345,0.8335,0.67693,0.79172,0.50324,1.22661,1.12554,1.2796,0.0013664,0.0013664,0.0013664
18,189.805,1.26819,1.13782,1.26565,0.86153,0.69497,0.80898,0.5174,1.25459,1.14329,1.2914,0.0013268,0.0013268,0.0013268
19,200.257,1.26942,1.11008,1.26669,0.82924,0.74843,0.83398,0.53715,1.21401,1.00752,1.24827,0.0012872,0.0012872,0.0012872
20,210.712,1.23959,1.07269,1.25206,0.82201,0.77358,0.84759,0.54481,1.18425,1.15079,1.24759,0.0012476,0.0012476,0.0012476
21,221.171,1.2475,1.07057,1.23245,0.76001,0.74528,0.79513,0.52568,1.2003,1.09748,1.23894,0.001208,0.001208,0.001208
22,231.561,1.2308,1.0426,1.25435,0.8397,0.76415,0.86877,0.6006,1.1136,0.90163,1.19615,0.0011684,0.0011684,0.0011684
23,242.031,1.22727,0.99406,1.23021,0.83509,0.76415,0.86398,0.58471,1.14051,0.92489,1.19842,0.0011288,0.0011288,0.0011288
24,252.442,1.20961,1.02051,1.23171,0.86172,0.72506,0.84992,0.56005,1.1938,0.95031,1.24982,0.0010892,0.0010892,0.0010892
25,262.869,1.2133,0.98434,1.23235,0.83057,0.78617,0.86646,0.61017,1.06772,0.87553,1.1554,0.0010496,0.0010496,0.0010496
26,273.33,1.18294,0.96437,1.21591,0.81727,0.78764,0.86839,0.59965,1.08215,0.87445,1.16522,0.00101,0.00101,0.00101
27,283.854,1.17941,0.94018,1.20392,0.84275,0.77527,0.8673,0.59943,1.09313,0.85761,1.18933,0.0009704,0.0009704,0.0009704
28,294.276,1.15932,0.94055,1.19698,0.85536,0.76101,0.85758,0.583,1.12482,0.89545,1.2083,0.0009308,0.0009308,0.0009308
29,304.704,1.17808,0.93632,1.19763,0.81794,0.78931,0.8665,0.60835,1.05942,0.84718,1.15635,0.0008912,0.0008912,0.0008912
30,315.083,1.13066,0.92496,1.18942,0.83651,0.84277,0.89157,0.61592,1.06292,0.81322,1.1717,0.0008516,0.0008516,0.0008516
31,325.53,1.13664,0.90288,1.18207,0.86203,0.79874,0.88492,0.61839,1.03595,0.83741,1.13449,0.000812,0.000812,0.000812
